ID	cluster_DMM_4	cluster_DMM_4_lab
3797_677_SG21R2_Pl8E01d	C1	Bacteroides 1
3797_678_SG21R2_Pl8F01_concatd	C1	Bacteroides 1
3797_679_SG21R2_Pl8G01d	C1	Bacteroides 1
3797_680_SG21R2_Pl8H01d	C1	Bacteroides 1
3797_681_SG21R2_Pl8A02_concatd	C1	Bacteroides 1
3797_682_SG21R2_Pl8B02_concatd	C1	Bacteroides 1
3797_684_SG21R2_Pl8D02d	C1	Bacteroides 1
3797_685_SG21R2_Pl8E02_concatd	C1	Bacteroides 1
3797_686_SG21R2_Pl8F02d	C1	Bacteroides 1
3797_687_SG21R2_Pl8G02_concatd	C1	Bacteroides 1
3797_688_SG21R2_Pl8H02_concatd	C1	Bacteroides 1
3797_689_SG21R2_Pl8A03_concatd	C1	Bacteroides 1
3797_690_SG21R2_Pl8B03d	C1	Bacteroides 1
3797_691_SG21R2_Pl8C03d	C1	Bacteroides 1
3797_692_SG21R2_Pl8D03_concatd	C1	Bacteroides 1
3797_693_SG21R2_Pl8E03_concatd	C1	Bacteroides 1
3797_694_SG21R2_Pl8F03_concatd	C1	Bacteroides 1
3797_695_SG21R2_Pl8G03_concatd	C1	Bacteroides 1
3797_696_SG21R2_Pl8H03d	C1	Bacteroides 1
3797_697_SG21R2_Pl8A04_concatd	C1	Bacteroides 1
3797_698_SG21R2_Pl8B04_concatd	C1	Bacteroides 1
3797_700_SG21R2_Pl8D04_concatd	C1	Bacteroides 1
3797_701_SG21R2_Pl8E04_concatd	C1	Bacteroides 1
3797_702_SG21R2_Pl8F04_concatd	C1	Bacteroides 1
3797_703_SG21R2_Pl8G04d	C1	Bacteroides 1
3797_704_SG21R2_Pl8H04d	C1	Bacteroides 1
3797_705_SG21R2_Pl8A05_concatd	C1	Bacteroides 1
3797_706_SG21R2_Pl8B05d	C1	Bacteroides 1
3797_708_SG21R2_Pl8D05_concatd	C1	Bacteroides 1
3797_709_SG21R2_Pl8E05_concatd	C1	Bacteroides 1
3797_710_SG21R2_Pl8F05d	C1	Bacteroides 1
3797_711_SG21R2_Pl8G05d	C1	Bacteroides 1
3797_713_SG21R2_Pl8A06_concatd	C1	Bacteroides 1
3797_714_SG21R2_Pl8B06_concatd	C1	Bacteroides 1
3797_715_SG21R2_Pl8C06d	C1	Bacteroides 1
3797_718_SG21R2_Pl8F06d	C1	Bacteroides 1
3797_719_SG21R2_Pl8G06d	C1	Bacteroides 1
3797_720_SG21R2_Pl8H06_concatd	C1	Bacteroides 1
3797_722_SG21R2_Pl8B07d	C1	Bacteroides 1
3797_723_SG21R2_Pl8C07_concatd	C1	Bacteroides 1
3797_724_SG21R2_Pl8D07d	C1	Bacteroides 1
3797_725_SG21R2_Pl8E07_concatd	C1	Bacteroides 1
3797_726_SG21R2_Pl8F07_concatd	C1	Bacteroides 1
3797_727_SG21R2_Pl8G07d	C1	Bacteroides 1
3797_728_SG21R2_Pl8H07_concatd	C1	Bacteroides 1
3797_729_SG21R2_Pl8A08_concatd	C1	Bacteroides 1
3797_730_SG21R2_Pl8B08d	C1	Bacteroides 1
3797_731_SG21R2_Pl8C08_concatd	C1	Bacteroides 1
3797_732_SG21R2_Pl8D08d	C1	Bacteroides 1
3797_733_SG21R2_Pl8E08d	C1	Bacteroides 1
3797_734_SG21R2_Pl8F08_concatd	C1	Bacteroides 1
3797_735_SG21R2_Pl8G08d	C1	Bacteroides 1
